campaign,target,model,backend,decode_tok_s,prefill_tok_s,ttft_s,decode_1024_wall_s,concurrency2_s,quality_set,quality_passed,quality_total,empty_answer_items,reps
20260917T155937Z,A-qwen3-30b,Qwen3-30B-A3B-Instruct-2507-Q4_K_M.gguf,Vulkan,88.66,1187.79,0.351,14.7255,2.782,v1-draft,12,12,0,3
20260917T162240Z,A-qwen3-30b,Qwen3-30B-A3B-Instruct-2507-Q4_K_M.gguf,Vulkan,88.63,1185.44,0.1918,14.6465,2.8854,v1,18,19,0,3
20260917T162240Z,B-qwen36-mtpoff,Qwen3.6-35B-A3B-UD-Q6_K.gguf,Vulkan,56.09,849.34,6.234,20.1494,8.3291,v1,5,19,15,3
20260917T163749Z,A-qwen3-30b,Qwen3-30B-A3B-Instruct-2507-Q4_K_M.gguf,Vulkan,88.72,1185.12,0.1919,14.6686,2.8477,v1,18,19,0,3
20260917T163749Z,B-qwen36-nothink,Qwen3.6-35B-A3B-UD-Q6_K.gguf,Vulkan,56.16,849.48,1.6488,20.1926,6.0578,v1,16,19,0,3
20260917T164929Z,A-qwen3-30b,Qwen3-30B-A3B-Instruct-2507-Q4_K_M.gguf,Vulkan,88.56,1183.37,0.3543,14.6676,2.8355,v1,18,19,0,3
20260917T164929Z,C-qwen36-mtpon,Qwen3.6-35B-A3B-UD-Q6_K.gguf,Vulkan,75.11,815.24,1.3203,16.8045,6.9277,v1,17,19,0,3
20260917T180122Z,A-qwen3-30b,Qwen3-30B-A3B-Instruct-2507-Q4_K_M.gguf,Vulkan,88.52,1182.71,0.1917,14.7024,2.8089,v1,18,19,0,3
20260917T180122Z,D1-ling3-think,Ling-3.0-flash-Q3_K_M.gguf,Vulkan,49.28,507.32,2.2003,22.8886,14.0458,v1,17,19,2,3
20260917T181101Z,A-qwen3-30b,Qwen3-30B-A3B-Instruct-2507-Q4_K_M.gguf,Vulkan,88.42,1178.49,0.1946,14.641,2.7963,v1,18,19,0,3
20260917T181101Z,D2-ling3-nothink,Ling-3.0-flash-Q3_K_M.gguf,Vulkan,49.2,518.29,2.131,22.8475,6.363,v1,17,19,0,3
20260917T184511Z,llamacpp-Q4KM,Qwen3-30B-A3B-Instruct-2507-Q4_K_M.gguf,Vulkan,87.22,1059.17,0.2139,14.4582,2.9173,v1,18,19,0,3
20260917T184511Z,vllm0201-AWQ,(vllm-awq),vLLM,31.98,1254.71,0.21,32.1971,9.2461,v1,17,19,0,3
20260917T185549Z,llamacpp-Q4KM,Qwen3-30B-A3B-Instruct-2507-Q4_K_M.gguf,Vulkan,89.49,1178.88,0.2293,14.65,2.961,v1,18,19,0,3
20260917T185549Z,vllm023-graph-AWQ,(vllm-awq),ROCm,31.03,1290.43,0.252,33.5874,10.6671,v1,18,19,0,3
20260917T193037Z,A-qwen3-30b,Qwen3-30B-A3B-Instruct-2507-Q4_K_M.gguf,Vulkan,88.6,1183.41,0.3601,14.6766,3.0101,v1,18,19,0,3
20260917T193037Z,E-gptoss20b,gpt-oss-20b-mxfp4.gguf,Vulkan,77.08,1489.51,0.3256,14.2614,5.1521,v1,17,19,0,3
20260917T202204Z,P-vulkan-10615,Qwen3-30B-A3B-Instruct-2507-Q4_K_M.gguf,Vulkan,89.38,1180.68,0.2323,14.644,2.9314,v1,18,19,0,3
20260917T202204Z,R-rocm-11011,Qwen3-30B-A3B-Instruct-2507-Q4_K_M.gguf,ROCm,77.23,1515.68,0.1099,13.6587,2.4233,v1,18,19,0,3
20260917T202204Z,V-vulkan-11011,Qwen3-30B-A3B-Instruct-2507-Q4_K_M.gguf,Vulkan,87.47,1187.24,0.3667,14.8343,2.9482,v1,18,19,0,3
